Category: All categories

Week,cerave: (United States)
2018-12-23,23
2018-12-30,24
2019-01-06,27
2019-01-13,26
2019-01-20,27
2019-01-27,27
2019-02-03,25
2019-02-10,26
2019-02-17,26
2019-02-24,26
2019-03-03,26
2019-03-10,27
2019-03-17,29
2019-03-24,27
2019-03-31,23
2019-04-07,25
2019-04-14,25
2019-04-21,25
2019-04-28,24
2019-05-05,22
2019-05-12,25
2019-05-19,22
2019-05-26,28
2019-06-02,29
2019-06-09,27
2019-06-16,27
2019-06-23,27
2019-06-30,26
2019-07-07,27
2019-07-14,27
2019-07-21,26
2019-07-28,29
2019-08-04,28
2019-08-11,25
2019-08-18,27
2019-08-25,23
2019-09-01,20
2019-09-08,23
2019-09-15,25
2019-09-22,24
2019-09-29,21
2019-10-06,25
2019-10-13,24
2019-10-20,28
2019-10-27,26
2019-11-03,30
2019-11-10,30
2019-11-17,33
2019-11-24,28
2019-12-01,28
2019-12-08,24
2019-12-15,28
2019-12-22,30
2019-12-29,38
2020-01-05,41
2020-01-12,37
2020-01-19,38
2020-01-26,33
2020-02-02,36
2020-02-09,35
2020-02-16,38
2020-02-23,38
2020-03-01,35
2020-03-08,31
2020-03-15,26
2020-03-22,25
2020-03-29,29
2020-04-05,32
2020-04-12,36
2020-04-19,40
2020-04-26,40
2020-05-03,44
2020-05-10,49
2020-05-17,79
2020-05-24,85
2020-05-31,70
2020-06-07,78
2020-06-14,100
2020-06-21,85
2020-06-28,93
2020-07-05,81
2020-07-12,83
2020-07-19,83
2020-07-26,79
2020-08-02,75
2020-08-09,79
2020-08-16,76
2020-08-23,75
2020-08-30,67
2020-09-06,65
2020-09-13,69
2020-09-20,65
2020-09-27,62
2020-10-04,67
2020-10-11,66
2020-10-18,70
2020-10-25,64
2020-11-01,55
2020-11-08,65
2020-11-15,69
2020-11-22,72
2020-11-29,72
2020-12-06,74
2020-12-13,69
2020-12-20,69
2020-12-27,79
2021-01-03,79
2021-01-10,76
2021-01-17,88
2021-01-24,94
2021-01-31,81
2021-02-07,83
2021-02-14,85
2021-02-21,88
2021-02-28,79
2021-03-07,77
2021-03-14,75
2021-03-21,77
2021-03-28,74
2021-04-04,76
2021-04-11,81
2021-04-18,80
2021-04-25,73
2021-05-02,70
2021-05-09,71
2021-05-16,73
2021-05-23,70
2021-05-30,76
2021-06-06,66
2021-06-13,75
2021-06-20,67
2021-06-27,69
2021-07-04,63
2021-07-11,69
2021-07-18,67
2021-07-25,66
2021-08-01,64
2021-08-08,66
2021-08-15,64
2021-08-22,61
2021-08-29,56
2021-09-05,58
2021-09-12,52
2021-09-19,54
2021-09-26,51
2021-10-03,50
2021-10-10,52
2021-10-17,56
2021-10-24,51
2021-10-31,53
2021-11-07,56
2021-11-14,57
2021-11-21,62
2021-11-28,70
2021-12-05,55
2021-12-12,54
2021-12-19,55
2021-12-26,63
2022-01-02,76
2022-01-09,76
2022-01-16,75
2022-01-23,76
2022-01-30,80
2022-02-06,84
2022-02-13,71
2022-02-20,73
2022-02-27,80
2022-03-06,78
2022-03-13,77
2022-03-20,71
2022-03-27,64
2022-04-03,67
2022-04-10,65
2022-04-17,67
2022-04-24,67
2022-05-01,61
2022-05-08,67
2022-05-15,66
2022-05-22,62
2022-05-29,74
2022-06-05,65
2022-06-12,67
2022-06-19,66
2022-06-26,74
2022-07-03,73
2022-07-10,73
2022-07-17,69
2022-07-24,71
2022-07-31,76
2022-08-07,74
2022-08-14,73
2022-08-21,71
2022-08-28,59
2022-09-04,64
2022-09-11,61
2022-09-18,67
2022-09-25,65
2022-10-02,61
2022-10-09,60
2022-10-16,64
2022-10-23,67
2022-10-30,64
2022-11-06,64
2022-11-13,65
2022-11-20,78
2022-11-27,74
2022-12-04,66
2022-12-11,73
2022-12-18,79
2022-12-25,90
2023-01-01,81
2023-01-08,75
2023-01-15,80
2023-01-22,77
2023-01-29,87
2023-02-05,86
2023-02-12,77
2023-02-19,86
2023-02-26,81
2023-03-05,83
2023-03-12,76
2023-03-19,82
2023-03-26,81
2023-04-02,82
2023-04-09,82
2023-04-16,77
2023-04-23,76
2023-04-30,74
2023-05-07,71
2023-05-14,80
2023-05-21,86
2023-05-28,82
2023-06-04,79
2023-06-11,76
2023-06-18,82
2023-06-25,75
2023-07-02,76
2023-07-09,80
2023-07-16,79
2023-07-23,78
2023-07-30,81
2023-08-06,79
2023-08-13,80
2023-08-20,70
2023-08-27,71
2023-09-03,71
2023-09-10,62
2023-09-17,69
2023-09-24,69
2023-10-01,67
2023-10-08,67
2023-10-15,68
2023-10-22,63
2023-10-29,68
2023-11-05,74
2023-11-12,74
2023-11-19,81
2023-11-26,80
2023-12-03,74
2023-12-10,84
